GRAPH_ID,OUTLET_ID,RAIN_START,RAIN_END,HYDRO_START,PEAK_TIME,HYDRO_END,SAMPLE_START,SAMPLE_END,EVENT_TYPE,EVENT_GRADE,COMPOUND_EVENT,PEAK_COUNT,SOURCE_RAIN_EVENT_IDS,SOURCE_RAIN_EVENT_COUNT,BASIN_ID,SOURCE_HYDRO_END,TIME_CONTRACT_STATUS,TIME_CONTRACT_ACTION,TIME_CONTRACT_REASON,EVENT_ID,SOURCE_EVENT_IDS,SOURCE_EVENT_COUNT,EVENT_MERGE_STATUS,SPLIT,SPLIT_REASON,EVENT_YEAR
B020,612E1940,2024-03-27 21:00:00,2024-03-28 08:00:00,2024-03-28 00:00:00,2024-03-28 04:00:00,2024-03-28 23:00:00,2024-03-25 21:00:00,2024-03-30 08:00:00,HYDRO_FLOOD,A,False,1,B020_R00050,1,B020,2024-03-28 23:00:00,UNCHANGED,NONE,,B020_F0018,B020_F0018,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2024
B034,61711890,2024-03-27 18:00:00,2024-03-28 13:00:00,2024-03-27 23:00:00,2024-03-28 04:00:00,2024-03-28 14:00:00,2024-03-25 18:00:00,2024-03-30 13:00:00,HYDRO_FLOOD,A,False,1,B034_R00040,1,B034,2024-03-28 14:00:00,UNCHANGED,NONE,,B034_F0016,B034_F0016,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2024
B014,611E2920,2024-03-27 22:00:00,2024-03-28 16:00:00,2024-03-28 05:00:00,2024-03-28 06:00:00,2024-03-28 09:00:00,2024-03-25 22:00:00,2024-03-30 16:00:00,HYDRO_FLOOD,A,False,1,B014_R00097,1,B014,2024-03-28 09:00:00,UNCHANGED,NONE,,B014_F0006,B014_F0006,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2024
B025,613E2580,2024-03-27 20:00:00,2024-03-28 08:00:00,2024-03-27 22:00:00,2024-03-28 06:00:00,2024-03-29 13:00:00,2024-03-25 20:00:00,2024-03-30 08:00:00,HYDRO_FLOOD,A,False,1,B025_R00065,1,B025,2024-03-29 13:00:00,UNCHANGED,NONE,,B025_F0020,B025_F0020,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2024
B010,611E2360,2024-03-27 23:00:00,2024-03-28 13:00:00,2024-03-28 04:00:00,2024-03-28 07:00:00,2024-03-29 22:00:00,2024-03-25 23:00:00,2024-03-30 13:00:00,HYDRO_FLOOD,A,False,1,B010_R00072,1,B010,2024-03-29 22:00:00,UNCHANGED,NONE,,B010_F0024,B010_F0024,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2024
B019,612E1060,2024-03-27 14:00:00,2024-03-28 14:00:00,2024-03-28 04:00:00,2024-03-28 08:00:00,2024-03-29 02:00:00,2024-03-25 14:00:00,2024-03-30 14:00:00,HYDRO_FLOOD,A,False,1,B019_R00139,1,B019,2024-03-29 02:00:00,UNCHANGED,NONE,,B019_F0022,B019_F0022,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2024
B006,61116100,2024-03-27 19:00:00,2024-03-28 15:00:00,2024-03-28 01:00:00,2024-03-28 09:00:00,2024-03-29 22:00:00,2024-03-25 19:00:00,2024-03-30 15:00:00,HYDRO_FLOOD,A,False,1,B006_R00104,1,B006,2024-03-29 22:00:00,UNCHANGED,NONE,,B006_F0023,B006_F0023,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2024
B004,61110900,2024-03-27 07:00:00,2024-03-30 00:00:00,2024-03-28 05:00:00,2024-03-28 10:00:00,2024-03-29 18:00:00,2024-03-25 07:00:00,2024-04-01 00:00:00,HYDRO_FLOOD,A,False,1,B004_R00116,1,B004,2024-03-29 18:00:00,UNCHANGED,NONE,,B004_F0011,B004_F0011,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2024
B022,612E2800,2024-03-30 20:00:00,2024-03-31 08:00:00,2024-03-31 00:00:00,2024-03-31 03:00:00,2024-04-03 05:00:00,2024-03-28 20:00:00,2024-04-02 08:00:00,HYDRO_FLOOD,A,True,2,B022_R00127;B022_R00128,2,B022,2024-04-03 05:00:00,UNCHANGED,NONE,,B022_F0023,B022_F0023,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2024
B032,614E1550,2024-03-30 16:00:00,2024-03-31 09:00:00,2024-03-30 22:00:00,2024-03-31 03:00:00,2024-04-01 08:00:00,2024-03-28 16:00:00,2024-04-02 09:00:00,HYDRO_FLOOD,A,False,1,B032_R00115,1,B032,2024-04-01 08:00:00,UNCHANGED,NONE,,B032_F0027,B032_F0027,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2024
B006,61116100,2024-03-30 20:00:00,2024-03-31 08:00:00,2024-03-31 01:00:00,2024-03-31 05:00:00,2024-03-31 22:00:00,2024-03-28 20:00:00,2024-04-02 08:00:00,HYDRO_FLOOD,A,False,1,B006_R00105,1,B006,2024-03-31 22:00:00,UNCHANGED,NONE,,B006_F0024,B006_F0024,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2024
B007,611E0470,2024-04-01 01:00:00,2024-04-02 00:00:00,2024-04-01 02:00:00,2024-04-01 16:00:00,2024-04-02 07:00:00,2024-03-30 01:00:00,2024-04-04 00:00:00,HYDRO_FLOOD,A,False,1,B007_R00156,1,B007,2024-04-02 07:00:00,UNCHANGED,NONE,,B007_F0024,B007_F0024,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2024
B008,611E1460,2024-04-01 07:00:00,2024-04-01 14:00:00,2024-04-01 14:00:00,2024-04-01 17:00:00,,2024-03-30 07:00:00,2024-04-03 14:00:00,HYDRO_FLOOD,B,False,1,B008_R00164,1,B008,,UNCHANGED,NONE,,B008_F0021,B008_F0021,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2024
B034,61711890,2024-03-30 21:00:00,2024-03-31 11:00:00,2024-03-31 00:00:00,2024-04-02 06:00:00,2024-04-03 10:00:00,2024-03-28 21:00:00,2024-04-02 11:00:00,HYDRO_FLOOD,A,True,2,B034_R00041;B034_R00042,2,B034,2024-04-03 10:00:00,UNCHANGED,NONE,,B034_F0017,B034_F0017,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2024
B032,614E1550,2024-04-01 10:00:00,2024-04-02 09:00:00,2024-04-02 03:00:00,2024-04-02 07:00:00,2024-04-02 23:00:00,2024-03-30 10:00:00,2024-04-04 09:00:00,HYDRO_FLOOD,A,False,1,B032_R00116,1,B032,2024-04-02 23:00:00,UNCHANGED,NONE,,B032_F0028,B032_F0028,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2024
B031,61402050,2024-04-01 07:00:00,2024-04-03 13:00:00,2024-04-02 03:00:00,2024-04-02 10:00:00,2024-04-03 21:00:00,2024-03-30 07:00:00,2024-04-05 13:00:00,HYDRO_FLOOD,A,False,1,B031_R00156,1,B031,2024-04-03 21:00:00,UNCHANGED,NONE,,B031_F0026,B031_F0026,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2024
B033,61510100,2024-04-01 21:00:00,2024-04-04 23:00:00,2024-04-02 04:00:00,2024-04-02 16:00:00,2024-04-03 15:00:00,2024-03-30 21:00:00,2024-04-06 23:00:00,HYDRO_FLOOD,A,False,1,B033_R00175,1,B033,2024-04-03 15:00:00,UNCHANGED,NONE,,B033_F0026,B033_F0026,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2024
B013,611E2820,2024-03-31 00:00:00,2024-04-07 18:00:00,2024-03-31 01:00:00,2024-04-02 18:00:00,,2024-03-29 00:00:00,2024-04-09 18:00:00,HYDRO_FLOOD,B,False,1,B013_R00110,1,B013,,UNCHANGED,NONE,,B013_F0012,B013_F0012,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2024
B019,612E1060,2024-04-02 07:00:00,2024-04-03 13:00:00,2024-04-03 01:00:00,2024-04-03 10:00:00,,2024-03-31 07:00:00,2024-04-05 13:00:00,HYDRO_FLOOD,B,False,1,B019_R00141,1,B019,,UNCHANGED,NONE,,B019_F0023,B019_F0023,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2024
B031,61402050,2024-04-04 03:00:00,2024-04-04 12:00:00,2024-04-04 07:00:00,2024-04-04 12:00:00,2024-04-05 07:00:00,2024-04-02 03:00:00,2024-04-06 12:00:00,HYDRO_FLOOD,A,False,1,B031_R00157,1,B031,2024-04-05 07:00:00,UNCHANGED,NONE,,B031_F0027,B031_F0027,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2024
