GRAPH_ID,NODE_ID,NODE_INDEX,OUTLET_ID,NODE_TYPE,IS_OUTLET,LON,LAT,IN_DEGREE,OUT_DEGREE,MERIT_UPA_KM2,incremental_area_km2,upstream_area_km2,MERIT_RASTER_SOURCE
Q_611E1000,Q_611E1000_N0003,2,611E1000,SOURCE,0,112.2533333,26.04333333,0,1,10.93336105,10.94060561,10.94060561,work_raster
Q_611E1000,Q_611E1000_N0004,3,611E1000,CONFLUENCE,0,112.2575,26.04,2,1,38.05842209,13.07235775,38.08366372,work_raster
Q_611E1000,Q_611E1000_N0005,4,611E1000,CONFLUENCE,0,112.2641667,25.9825,2,1,106.5431061,57.86762219,106.6136456,work_raster
Q_611E1000,Q_611E1000_N0006,5,611E1000,SOURCE,0,112.265,25.95833333,0,1,10.64005756,10.64707022,10.64707022,work_raster
Q_611E1000,Q_611E1000_N0007,6,611E1000,CONFLUENCE,0,112.2583333,25.955,2,1,130.6209717,13.44664738,130.7073632,work_raster
Q_611E1000,Q_611E1000_N0008,7,611E1000,SOURCE,0,112.2241667,25.94416667,0,1,12.26531315,12.27339397,12.27339397,work_raster
Q_611E1000,Q_611E1000_N0009,8,611E1000,CONFLUENCE,0,112.2366667,25.93833333,2,1,150.7409058,7.859789692,150.8405468,work_raster
Q_611E1000,Q_611E1000_N0010,9,611E1000,OUTLET,1,112.2383333,25.9275,1,0,152.6124573,1.87277838,152.7133252,work_raster
Q_611E1500,Q_611E1500_N0001,0,611E1500,SOURCE,0,112.9558333,25.66333333,0,1,10.28300762,10.28962748,10.28962748,work_raster
Q_611E1500,Q_611E1500_N0002,1,611E1500,SOURCE,0,112.9975,25.62333333,0,1,15.83990097,15.85006303,15.85006303,work_raster
Q_611E1500,Q_611E1500_N0003,2,611E1500,SOURCE,0,112.9008333,25.61,0,1,11.08282471,11.08993362,11.08993362,work_raster
Q_611E1500,Q_611E1500_N0004,3,611E1500,SOURCE,0,112.9216667,25.59833333,0,1,10.06458569,10.07103551,10.07103551,work_raster
Q_611E1500,Q_611E1500_N0005,4,611E1500,CONFLUENCE,0,112.9275,25.6125,2,1,33.91213989,12.77292603,33.93389516,work_raster
Q_611E1500,Q_611E1500_N0006,5,611E1500,CONFLUENCE,0,112.985,25.66416667,2,1,72.40746307,28.23046627,72.4539889,work_raster
Q_611E1500,Q_611E1500_N0007,6,611E1500,SOURCE,0,112.9691667,25.5975,0,1,10.93753529,10.94454432,10.94454432,work_raster
Q_611E1500,Q_611E1500_N0008,7,611E1500,CONFLUENCE,0,112.995,25.6275,2,1,36.90119553,10.13026241,36.92486976,work_raster
Q_611E1500,Q_611E1500_N0009,8,611E1500,CONFLUENCE,0,113.0083333,25.67,2,1,129.5329132,20.23728572,129.6161444,work_raster
Q_611E1500,Q_611E1500_N0010,9,611E1500,OUTLET,1,113.0191667,25.68,1,0,140.3295593,10.80361035,140.4197547,work_raster
Q_611E2185,Q_611E2185_N0001,0,611E2185,SOURCE,0,114.0233333,28.14916667,0,1,10.03738213,10.04504544,10.04504544,work_raster
Q_611E2185,Q_611E2185_N0002,1,611E2185,SOURCE,0,114.0325,28.13666667,0,1,10.40086937,10.40880593,10.40880593,work_raster
Q_611E2185,Q_611E2185_N0003,2,611E2185,CONFLUENCE,0,114.03,28.12833333,2,1,29.54065704,9.109348294,29.56319966,work_raster
Q_611E2185,Q_611E2185_N0004,3,611E2185,SOURCE,0,113.9408333,28.125,0,1,10.0018177,10.0094437,10.0094437,work_raster
Q_611E2185,Q_611E2185_N0005,4,611E2185,SOURCE,0,113.9833333,28.12333333,0,1,11.3464098,11.35506164,11.35506164,work_raster
Q_611E2185,Q_611E2185_N0006,5,611E2185,SOURCE,0,113.9558333,28.08083333,0,1,10.03535652,10.04299288,10.04299288,work_raster
Q_611E2185,Q_611E2185_N0007,6,611E2185,SOURCE,0,114,28.0675,0,1,14.9532156,14.96456294,14.96456294,work_raster
Q_611E2185,Q_611E2185_N0008,7,611E2185,CONFLUENCE,0,113.9941667,28.07166667,2,1,68.29766083,23.82190144,68.34966404,work_raster
Q_611E2185,Q_611E2185_N0009,8,611E2185,CONFLUENCE,0,113.9833333,28.07583333,2,1,89.67234802,10.03590509,89.74063076,work_raster
Q_611E2185,Q_611E2185_N0010,9,611E2185,CONFLUENCE,0,113.9625,28.06583333,2,1,108.0144501,8.313059496,108.0966831,work_raster
Q_611E2185,Q_611E2185_N0011,10,611E2185,SOURCE,0,113.9816667,28.05333333,0,1,10.37406445,10.38192378,10.38192378,work_raster
Q_611E2185,Q_611E2185_N0012,11,611E2185,CONFLUENCE,0,113.9608333,28.065,2,1,123.0759048,4.690942953,123.1695499,work_raster
Q_611E2185,Q_611E2185_N0013,12,611E2185,CONFLUENCE,0,113.9433333,28.0625,2,1,157.7068176,24.64782905,157.8268226,work_raster
Q_611E2185,Q_611E2185_N0014,13,611E2185,OUTLET,1,113.9291667,28.055,1,0,167.4507904,9.751365814,167.5781884,work_raster
Q_611E2370,Q_611E2370_N0001,0,611E2370,SOURCE,0,112.435,27.5475,0,1,10.48075485,10.48844597,10.48844597,work_raster
Q_611E2370,Q_611E2370_N0002,1,611E2370,SOURCE,0,112.5,27.54,0,1,10.1381979,10.14564206,10.14564206,work_raster
Q_611E2370,Q_611E2370_N0003,2,611E2370,CONFLUENCE,0,112.4983333,27.5275,2,1,57.03110886,36.43885794,57.07294597,work_raster
Q_611E2370,Q_611E2370_N0004,3,611E2370,SOURCE,0,112.4775,27.5175,0,1,11.17548561,11.18366762,11.18366762,work_raster
Q_611E2370,Q_611E2370_N0005,4,611E2370,CONFLUENCE,0,112.5008333,27.52416667,2,1,75.21164703,7.010181645,75.26679524,work_raster
Q_611E2370,Q_611E2370_N0006,5,611E2370,SOURCE,0,112.5508333,27.51583333,0,1,10.07950974,10.08689974,10.08689974,work_raster
Q_611E2370,Q_611E2370_N0007,6,611E2370,SOURCE,0,112.5158333,27.4925,0,1,10.34966946,10.35723142,10.35723142,work_raster
Q_611E2370,Q_611E2370_N0008,7,611E2370,CONFLUENCE,0,112.5333333,27.49416667,2,1,103.1948166,17.64640516,103.2704318,work_raster
Q_611E2370,Q_611E2370_N0009,8,611E2370,CONFLUENCE,0,112.5566667,27.49333333,2,1,132.5293579,19.26911414,132.6264457,work_raster
Q_611E2370,Q_611E2370_N0010,9,611E2370,OUTLET,1,112.5825,27.48083333,1,0,145.6515045,13.13174316,145.7581889,work_raster
Q_611E2480,Q_611E2480_N0001,0,611E2480,SOURCE,0,111.9258333,28.015,0,1,11.13954258,11.1479729,11.1479729,work_raster
Q_611E2480,Q_611E2480_N0002,1,611E2480,SOURCE,0,111.9133333,27.96833333,0,1,10.37998772,10.38781744,10.38781744,work_raster
Q_611E2480,Q_611E2480_N0003,2,611E2480,CONFLUENCE,0,111.905,27.96666667,2,1,46.11899185,24.61804183,46.15383217,work_raster
Q_611E2480,Q_611E2480_N0004,3,611E2480,SOURCE,0,111.8458333,27.96583333,0,1,10.25101376,10.25874935,10.25874935,work_raster
Q_611E2480,Q_611E2480_N0005,4,611E2480,SOURCE,0,111.87,27.94583333,0,1,11.5312233,11.53991384,11.53991384,work_raster
Q_611E2480,Q_611E2480_N0006,5,611E2480,SOURCE,0,111.895,27.935,0,1,10.10337448,10.11098172,10.11098172,work_raster
Q_611E2480,Q_611E2480_N0007,6,611E2480,CONFLUENCE,0,111.8941667,27.935,2,1,65.0909729,8.875286805,65.14010069,work_raster
Q_611E2480,Q_611E2480_N0008,7,611E2480,CONFLUENCE,0,111.875,27.93416667,2,1,85.1745224,8.558759997,85.23877453,work_raster
Q_611E2480,Q_611E2480_N0009,8,611E2480,CONFLUENCE,0,111.8583333,27.9075,2,1,120.8184509,25.41202208,120.909546,work_raster
Q_611E2480,Q_611E2480_N0010,9,611E2480,SOURCE,0,111.8358333,27.895,0,1,10.56172371,10.56965287,10.56965287,work_raster
Q_611E2480,Q_611E2480_N0011,10,611E2480,CONFLUENCE,0,111.8583333,27.90666667,2,1,137.481781,6.106183894,137.5853827,work_raster
Q_611E2480,Q_611E2480_N0012,11,611E2480,OUTLET,1,111.8616667,27.89333333,1,0,140.1468048,2.667024937,140.2524077,work_raster
Q_611E2524,Q_611E2524_N0001,0,611E2524,SOURCE,0,112.0333333,27.89583333,0,1,10.15947247,10.16710426,10.16710426,work_raster
Q_611E2524,Q_611E2524_N0002,1,611E2524,SOURCE,0,112.0566667,27.89083333,0,1,16.82987785,16.84251629,16.84251629,work_raster
Q_611E2524,Q_611E2524_N0003,2,611E2524,CONFLUENCE,0,112.0416667,27.86333333,2,1,53.72764969,26.75834825,53.7679688,work_raster
Q_611E2524,Q_611E2524_N0004,3,611E2524,OUTLET,1,112.0558333,27.81583333,1,0,83.65615082,29.95088313,83.71885192,work_raster
Q_611E2550,Q_611E2550_N0001,0,611E2550,SOURCE,0,112.5108333,27.63333333,0,1,10.2536211,10.2611812,10.2611812,work_raster
Q_611E2550,Q_611E2550_N0002,1,611E2550,SOURCE,0,112.5341667,27.595,0,1,13.11905861,13.12871071,13.12871071,work_raster
Q_611E2550,Q_611E2550_N0003,2,611E2550,CONFLUENCE,0,112.5266667,27.65416667,2,1,80.46882629,57.13821142,80.52810334,work_raster
Q_611E2550,Q_611E2550_N0004,3,611E2550,OUTLET,1,112.53,27.665,1,0,82.94228363,2.475283031,83.00338637,work_raster
Q_611E2600,Q_611E2600_N0001,0,611E2600,SOURCE,0,112.6525,27.67,0,1,10.04430199,10.05173329,10.05173329,work_raster
Q_611E2600,Q_611E2600_N0002,1,611E2600,OUTLET,1,112.7341667,27.70166667,1,0,64.71979523,54.71594586,64.76767915,work_raster
Q_611E2620,Q_611E2620_N0001,0,611E2620,SOURCE,0,112.8016667,27.91833333,0,1,13.20124054,13.21116552,13.21116552,work_raster
Q_611E2620,Q_611E2620_N0002,1,611E2620,SOURCE,0,112.8316667,27.89,0,1,10.50712872,10.51502483,10.51502483,work_raster
Q_611E2620,Q_611E2620_N0003,2,611E2620,CONFLUENCE,0,112.8308333,27.88916667,2,1,41.20254135,17.50732042,41.23351077,work_raster
Q_611E2620,Q_611E2620_N0004,3,611E2620,OUTLET,1,112.8383333,27.88083333,1,0,42.52005768,1.318505307,42.55201608,work_raster
Q_611E2645,Q_611E2645_N0001,0,611E2645,SOURCE,0,112.9025,27.935,0,1,10.33673573,10.34452159,10.34452159,work_raster
Q_611E2645,Q_611E2645_N0002,1,611E2645,OUTLET,1,112.9541667,27.91416667,1,0,34.64999771,24.3315418,34.67606339,work_raster
Q_61205550,Q_61205550_N0001,0,61205550,SOURCE,0,111.3683333,28.515,0,1,10.67292881,10.68127438,10.68127438,work_raster
Q_61205550,Q_61205550_N0002,1,61205550,SOURCE,0,111.4141667,28.47,0,1,10.05164337,10.05948655,10.05948655,work_raster
Q_61205550,Q_61205550_N0003,2,61205550,CONFLUENCE,0,111.3875,28.45166667,2,1,75.38188171,54.69994171,75.44070264,work_raster
Q_61205550,Q_61205550_N0004,3,61205550,OUTLET,1,111.3825,28.43166667,1,0,87.30654907,11.93394456,87.37464721,work_raster
Q_612E1800,Q_612E1800_N0001,0,612E1800,SOURCE,0,111.3475,27.5475,0,1,11.033885,11.04198969,11.04198969,work_raster
Q_612E1800,Q_612E1800_N0002,1,612E1800,SOURCE,0,111.3075,27.48916667,0,1,10.30514336,10.31267017,10.31267017,work_raster
Q_612E1800,Q_612E1800_N0003,2,612E1800,CONFLUENCE,0,111.3508333,27.54583333,2,1,54.37086105,33.05601675,54.41067662,work_raster
Q_612E1800,Q_612E1800_N0004,3,612E1800,OUTLET,1,111.3916667,27.60166667,1,0,87.77415466,33.42783906,87.83851568,work_raster
Q_612E1810,Q_612E1810_N0001,0,612E1810,SOURCE,0,111.5283333,27.69833333,0,1,11.5356102,11.544162,11.544162,work_raster
Q_612E1810,Q_612E1810_N0002,1,612E1810,OUTLET,1,111.4875,27.6625,1,0,43.73408127,32.22228171,43.76644371,work_raster
Q_612E1900,Q_612E1900_N0001,0,612E1900,SOURCE,0,111.1191667,27.91333333,0,1,13.43694592,13.44704155,13.44704155,work_raster
Q_612E1900,Q_612E1900_N0002,1,612E1900,SOURCE,0,111.1725,27.91083333,0,1,13.32306576,13.3330779,13.3330779,work_raster
Q_612E1900,Q_612E1900_N0003,2,612E1900,CONFLUENCE,0,111.175,27.88916667,2,1,44.13428497,17.38732686,44.16744631,work_raster
Q_612E1900,Q_612E1900_N0004,3,612E1900,SOURCE,0,111.0716667,27.8725,0,1,13.12489986,13.13472902,13.13472902,work_raster
Q_612E1900,Q_612E1900_N0005,4,612E1900,SOURCE,0,111.0883333,27.83583333,0,1,13.28783512,13.29776391,13.29776391,work_raster
Q_612E1900,Q_612E1900_N0006,5,612E1900,CONFLUENCE,0,111.1066667,27.86166667,2,1,59.17092133,32.78270023,59.21519316,work_raster
Q_612E1900,Q_612E1900_N0007,6,612E1900,OUTLET,1,111.1666667,27.85,2,0,150.4675751,47.19772263,150.5803621,work_raster
Q_612E1950,Q_612E1950_N0001,0,612E1950,SOURCE,0,111.2808333,27.64166667,0,1,10.78563118,10.79357944,10.79357944,work_raster
Q_612E1950,Q_612E1950_N0002,1,612E1950,SOURCE,0,111.2625,27.58583333,0,1,13.59214973,13.60213718,13.60213718,work_raster
Q_612E1950,Q_612E1950_N0003,2,612E1950,SOURCE,0,111.2416667,27.5575,0,1,13.19333172,13.20300694,13.20300694,work_raster
Q_612E1950,Q_612E1950_N0004,3,612E1950,CONFLUENCE,0,111.2591667,27.59,2,1,40.71893311,13.94369077,40.7488349,work_raster
Q_612E1950,Q_612E1950_N0005,4,612E1950,CONFLUENCE,0,111.2658333,27.65416667,2,1,87.92823792,36.45053225,87.99294658,work_raster
Q_612E1950,Q_612E1950_N0006,5,612E1950,OUTLET,1,111.2658333,27.6675,1,0,90.28030396,2.353798811,90.34674539,work_raster
Q_612E2390,Q_612E2390_N0001,0,612E2390,SOURCE,0,110.8591667,28.36833333,0,1,13.48444748,13.49488865,13.49488865,work_raster
Q_612E2390,Q_612E2390_N0002,1,612E2390,SOURCE,0,110.865,28.34666667,0,1,10.27651024,10.28445615,10.28445615,work_raster
Q_612E2390,Q_612E2390_N0003,2,612E2390,CONFLUENCE,0,110.8233333,28.32833333,2,1,55.75169373,32.01547062,55.79481542,work_raster
Q_612E2390,Q_612E2390_N0004,3,612E2390,SOURCE,0,110.7766667,28.31333333,0,1,17.41835403,17.43177006,17.43177006,work_raster
Q_612E2390,Q_612E2390_N0005,4,612E2390,SOURCE,0,110.7533333,28.31,0,1,12.10582161,12.11515755,12.11515755,work_raster
