GRAPH_ID,BASIN_ID,NODE_INDEX,STATION_ID,OUTLET_ID,ROLE,IS_OUTLET,STATIC_QC,log_incremental_area,log_upstream_area,mean_hillslope_flow_distance_m,mean_slope_deg,elevation_std_m,drainage_density_km_per_km2,soil_log_ksat_0_30cm,soil_profile_depth_cm,forest_fraction,impervious_fraction
B023,B023,2,613H0214,613E1450,upstream,0,ACCEPT,2.577567175,3.450091264,848.0271313,20.70665162,66.14853677,0.5996233303,0.9054848651,93.29999542,0.05309734513,0.03533934644
B023,B023,3,613E0900,613E1450,upstream,0,ACCEPT,3.992800458,4.438759974,913.3823469,16.08326883,63.86483029,0.6213211924,0.921133558,84.30646515,0.01204819277,0.03579705977
B023,B023,4,613H0212,613E1450,upstream,0,ACCEPT,2.624579165,4.579432321,1033.270284,17.85874349,60.18153569,0.6172762242,0.9172470371,89.67500305,0,0.03067958439
B023,B023,5,61310550,613E1450,upstream,0,ACCEPT,5.75891239,6.067332716,921.6917959,21.34905037,101.7195402,0.6128091949,1.245313148,89.66520691,0.1265141319,0.02575676884
B023,B023,6,613E1450,613E1450,outlet,1,ACCEPT,3.128215503,6.116653428,898.8668546,19.88794792,55.5317956,0.6033465643,1.256598075,83.34625244,0,0.01926488181
B024,B024,0,613K0001,613E1540,upstream,0,ACCEPT,3.645737427,3.644992207,948.0791837,24.68033123,162.1563417,0.5152192622,1.382957598,88.50687408,0.04545454545,0.03341294541
B024,B024,1,613E1630,613E1540,upstream,0,ACCEPT,3.878373781,3.877631027,861.3934799,17.38430069,76.38992253,0.651856736,1.131206055,90.89789581,0.04474272931,0.05706516572
B024,B024,2,613H0207,613E1540,upstream,0,ACCEPT,5.405161625,5.597284476,943.5596537,24.30441708,189.4311798,0.5570219491,1.253518085,91.3837204,0.07306590258,0.02959779337
B024,B024,3,613E1540,613E1540,outlet,1,ACCEPT,4.377632961,5.95470861,809.7211347,25.77415765,180.499612,0.6550995992,1.116699636,90.82442474,0.04365620737,0.1077209962
B025,B025,0,613H2404,613E2580,upstream,0,ACCEPT,4.430636936,4.429839577,813.9228857,22.57619155,171.1066187,0.5186622784,1.46691678,83.23381042,0.1304347826,0.006021024768
B025,B025,1,613E2580,613E2580,outlet,1,ACCEPT,3.797694608,4.847969032,779.2468747,26.53533382,114.368041,0.567176233,1.577249487,80.42518616,0.3036144578,0.004993809327
B026,B026,0,613H2228,613E2680,upstream,0,ACCEPT,4.568623323,4.567849272,924.7253052,27.10111545,200.902274,0.4977673413,1.749751925,92.32208252,0.7464008859,0.004526892571
B026,B026,1,613E2680,613E2680,outlet,1,ACCEPT,6.132567997,6.32003868,945.9107336,22.57395858,188.2410886,0.5930415018,1.534579058,93.48104095,0.3750866651,0.01527287112
B027,B027,0,613K2251,613E2810,upstream,0,ACCEPT,3.62809064,3.627305589,1076.618877,14.87578037,53.12449159,0.57823461,1.295577486,88.47468567,0.1358381503,0.01326227374
B027,B027,1,613E2810,613E2810,outlet,1,ACCEPT,5.028922013,5.243109689,1048.542862,9.26315466,36.02775716,0.5955080601,1.282825132,94.1746521,0.02494802495,0.03608192405
B028,B028,0,613H0107,613G1535,upstream,0,ACCEPT,3.322235765,3.321504945,890.7171286,21.19193611,66.32367874,0.5334016758,1.564048628,82.1958847,0.04724409449,0.008719657947
B028,B028,1,613G1535,613G1535,outlet,1,ACCEPT,4.662087477,4.886427627,999.206918,18.42009242,108.8389974,0.6803566595,1.485504131,81.70014954,0.07381193124,0.01981532019
B029,B029,0,613E0590,613H1300,upstream,0,ACCEPT,5.136204485,5.135502642,1040.96483,18.03169783,108.9021596,0.552198333,1.388826887,95.19718933,0.1201525747,0.03556771546
B029,B029,1,613H1300,613H1300,outlet,1,ACCEPT,4.601253465,5.592811928,1050.479342,18.96650926,120.5963201,0.522891683,1.406188965,95.16453552,0.06318082789,0.08918028598
B030,B030,0,613H1902,613H9508,upstream,0,ACCEPT,3.092316123,3.091638496,793.0440221,22.37350238,202.5267729,0.4874792048,1.568498572,91.6296463,0.1288659794,0.002309863975
B030,B030,1,613E1060,613H9508,upstream,0,ACCEPT,6.00070791,6.000001762,928.5078683,24.40210335,248.436969,0.5339872666,1.522338808,92.11506653,0.4886817577,0.005397492345
B030,B030,2,613H9504,613H9508,upstream,0,ACCEPT,4.120388068,6.184113024,838.903558,20.4321212,127.1083948,0.5979358831,1.397865653,95.42350769,0.003496503497,0.01184144058
B030,B030,3,613H9508,613H9508,outlet,1,ACCEPT,1.142723411,6.188503034,786.2613366,9.033853135,18.93758088,0.7408546334,1.416603883,95.13000488,0,0.08453085376
B031,B031,0,614E1950,61402050,upstream,0,ACCEPT,3.55443049,3.553633248,974.34772,25.36367887,140.6800235,0.4467167597,1.525596817,89.55063629,0.8159509202,0.01242153773
B031,B031,1,614G2040,61402050,upstream,0,ACCEPT,4.060924739,4.520930234,919.065493,27.69753161,199.7018925,0.5489420741,1.540700773,88.45973969,0.9060773481,0.003045845498
B031,B031,2,61402050,61402050,outlet,1,ACCEPT,3.892372288,4.940990333,932.380611,24.5704169,177.2296187,0.5659266271,1.598597288,78.69158936,0.5505376344,0.04581053736
B032,B032,0,614H0033,614E1550,upstream,0,ACCEPT,2.140963895,2.140239549,1104.83799,27.00016072,197.9647724,0.607367857,1.569687068,91.50100708,0.3648648649,0.01751019429
B032,B032,1,614E1550,614E1550,outlet,1,ACCEPT,4.839440993,4.896324046,965.0128195,22.77394404,178.0003859,0.5632461297,1.600643476,92.10720825,0.17003367,0.04591917307
B033,B033,0,61510100,61510100,outlet,1,ACCEPT,3.384724801,3.383962538,1015.664118,21.61597111,67.20328205,0.6333777632,1.131702244,97.27263641,0.4375,0.01360179253
B034,B034,0,617E2950,61711890,upstream,0,ACCEPT,4.506149369,4.505331894,1092.307214,13.59876264,74.52162804,0.5531100015,1.227713625,94.42443085,0.1010452962,0.07622980468
B034,B034,1,61711890,61711890,outlet,1,ACCEPT,4.994230241,5.467790211,1093.910914,12.56876672,64.38206919,0.5206610462,1.259452085,96.25106812,0.04816678648,0.1252387181
B035,B035,0,810G0060,810G0060,outlet,1,ACCEPT,5.291848451,5.291225091,965.5001321,18.20873007,269.4277112,0.6153707883,1.339236816,88.29663086,0.2719249862,0.04931128975
